Name,Type,%Vbur,Bite angle,P1–M (Å),P2–M (Å),Avg. P–M (Å),Metal center
PEFPOI,PC1P,0.5217631848676855,73.18750657161218,2.237815452623383,2.236720143424295,2.237267798023839,Rh
PEFPUO,PC1P,0.5240519008572494,73.10005940443533,2.240318950506824,2.244804445825961,2.2425616981663925,Rh
PEFQAV,PC1P,0.4934774506149832,72.45734198964784,2.25087205322737,2.247742200520335,2.2493071268738527,Rh
PEFQID,PC1P,0.5102846626910175,72.70783398344496,2.23464851822384,2.2259056583781804,2.23027708830101,Rh
PEJVIM,PC1P,0.4251595695117406,71.73964762291776,2.3050477218487258,2.298201470715742,2.3016245962822337,Ru
PIXQOD,PC1P,0.4657857342527022,71.54513655393619,2.370089449788762,2.2627120895067496,2.316400769647756,Pd
PIXREU,PC1P,0.4562581531867313,73.52798630981897,2.247338203297403,2.364443909252237,2.3058910562748203,Pd
QACFEG,PC1P,0.390630823704808,70.68136338629519,2.3710103331702284,2.364061970422941,2.367536151796585,Ru
QAFSUL,PC1P,0.509644055162132,73.77316334677825,2.1932241107556703,2.194563054459817,2.1938935826077435,Rh
QICYOQ,PC1P,0.4086551900857249,71.73500082541281,2.2897836142308297,2.288312915665164,2.2890482649479966,Ru
QIVHEI,PC1P,0.5443591595229221,75.98051468564766,2.172002992631456,2.3138394499186843,2.24292122127507,Rh
QIVHUY,PC1P,0.5386810473350727,75.42085462697733,2.272878351342191,2.2726711156698407,2.272774733506016,Rh
QIXTEZ,PC1P,0.4603405702571748,72.58157611333085,2.2708520427363825,2.3535184299257144,2.3121852363310484,Pd
QIYKIS,PC1P,0.4653780749161386,73.33849965629574,2.334649652517484,2.342552880939937,2.33860126672871,Pd
QUCHOM,PC1P,0.5080192415206858,73.7346011846099,2.264781004865592,2.2200135134723835,2.242397259168988,Pd
QUKYEC,PC1P,0.4552622996645546,72.4261615967592,2.2915396570864752,2.287603768138179,2.289571712612327,Rh
RAHLES,PC1P,0.4420366660454715,71.29634672075008,2.315874996626545,2.3092173998998016,2.312546198263173,Ru
RIJJUR,PC1P,0.527569418561312,75.05246352017942,2.3250911810077466,2.3373395132072705,2.3312153471075083,Rh
RIJKAY,PC1P,0.5371843551994037,76.09513231397466,2.210058144031509,2.3079976169831724,2.259027880507341,Rh
RIJKEC,PC1P,0.5313548266865449,76.0049069168151,2.218436837054416,2.3461945784610445,2.2823157077577303,Rh
RUKDUW,PC1P,0.4292827525158404,71.15302714614708,2.293600008719916,2.3024910423278526,2.298045525523884,Ru
RUMNIZ,PC1P,0.4391364610510622,72.7412659050137,2.2578972518695357,2.2835719826622496,2.2707346172658927,Ru
RUMPEX,PC1P,0.4326896198285501,72.30299861936237,2.294515853072278,2.265003532006077,2.279759692539177,Ru
RUNDAF,PC1P,0.4313035780842341,70.3526774816441,2.2595017149805394,2.412685226050012,2.336093470515276,Pd
RUQLEU,PC1P,0.454161619455833,70.71460446981297,2.370364107051911,2.3778046597649687,2.37408438340844,Ru
SIJREK,PC1P,0.5478242638837123,75.84028065890345,2.326901373071062,2.257450331679526,2.292175852375294,Pd
SOYNUP,PC1P,0.438990868430861,70.81465182482832,2.281868970821945,2.2713742536182813,2.2766216122201133,Ru
SUPSII,PC1P,0.4914216828177413,73.33891034203545,2.236078039783049,2.2370547601701665,2.236566399976608,Pd
SUPTAB,PC1P,0.5032729221021245,74.24660539735545,2.299395572753849,2.3354292967246946,2.317412434739272,Pd
TAHGIW,PC1P,0.4329458628401043,72.2038077031374,2.3249694621650407,2.31068020288399,2.3178248325245154,Rh
TAWTIU,PC1P,0.4789123648900484,72.38301320799991,2.2630888184072675,2.2751628513141644,2.269125834860716,Pd
TEBYAC,PC1P,0.4407554509877003,72.48904406698554,2.260361254313124,2.258263492154978,2.259312373234051,Ru
TEDXOQ,PC1P,0.4375465896384644,71.22285523610752,2.270240736133505,2.304401223745553,2.2873209799395293,Ru
TUCSOA,PC1P,0.4608763510995154,72.15354778750908,2.295374043592896,2.2922220660311248,2.2937980548120103,Ru
TUJTOI,PC1P,0.4713648434588147,73.26001971143553,2.269275875692508,2.247619629741652,2.25844775271708,Pd
TUKYIH,PC1P,0.4199881196421915,69.76303075072707,2.329438129678486,2.3260960857195903,2.327767107699038,Ru
TUKYON,PC1P,0.4377678904211703,71.84492519517536,2.253467328363116,2.286698274805839,2.2700828015844774,Ru
UBIDUG,PC1P,0.4665544632873649,72.80481856480034,2.200819165674455,2.251178802316689,2.225998983995572,Rh
UFAXIL,PC1P,0.4524319791278419,71.22470559125087,2.2513575904329373,2.2515448030185854,2.2514511967257613,Pd
VAXDII,PC1P,0.4531715896384644,71.28903387743902,2.2587990171770485,2.257771024705561,2.258285020941305,Ru
